"Step","Job Type: training - SW_ep_rew_total","Job Type: training - SW_ep_rew_total__MIN","Job Type: training - SW_ep_rew_total__MAX"
"64000","24.712499380111694","24.712499380111694","24.712499380111694"
"128000","23.928000926971436","23.928000926971436","23.928000926971436"
"192000","23.928001403808594","23.928001403808594","23.928001403808594"
"256000","23.484000205993652","23.484000205993652","23.484000205993652"
"320000","24.119999885559082","24.119999885559082","24.119999885559082"
"384000","22.811999797821045","22.811999797821045","22.811999797821045"
"448000","22.895999908447266","22.895999908447266","22.895999908447266"
"512000","24.287999391555786","24.287999391555786","24.287999391555786"
"576000","24.92400026321411","24.92400026321411","24.92400026321411"
"640000","23.96399998664856","23.96399998664856","23.96399998664856"
"704000","23.447999477386475","23.447999477386475","23.447999477386475"
"768000","24.28800106048584","24.28800106048584","24.28800106048584"
"832000","23.592000007629395","23.592000007629395","23.592000007629395"
"896000","24.31200075149536","24.31200075149536","24.31200075149536"
"960000","23.8799991607666","23.8799991607666","23.8799991607666"
"1024000","24.948001384735107","24.948001384735107","24.948001384735107"
"1088000","24.731999397277832","24.731999397277832","24.731999397277832"
"1152000","24.899999618530273","24.899999618530273","24.899999618530273"
"1216000","24.972001552581787","24.972001552581787","24.972001552581787"
"1280000","24.816001892089844","24.816001892089844","24.816001892089844"
"1344000","24.696000576019287","24.696000576019287","24.696000576019287"
"1408000","24.64799928665161","24.64799928665161","24.64799928665161"
"1472000","25.164000511169434","25.164000511169434","25.164000511169434"
"1536000","25.18799924850464","25.18799924850464","25.18799924850464"
"1600000","25.668001174926758","25.668001174926758","25.668001174926758"
"1664000","25.895997524261475","25.895997524261475","25.895997524261475"
"1728000","25.59600067138672","25.59600067138672","25.59600067138672"
"1792000","25.524001598358154","25.524001598358154","25.524001598358154"
"1856000","24.420000076293945","24.420000076293945","24.420000076293945"
"1920000","26.015998363494873","26.015998363494873","26.015998363494873"
"1984000","26.004000186920166","26.004000186920166","26.004000186920166"
"2048000","25.97999906539917","25.97999906539917","25.97999906539917"
"2112000","26.315999031066895","26.315999031066895","26.315999031066895"
"2176000","25.968001127243042","25.968001127243042","25.968001127243042"
"2240000","26.039999961853027","26.039999961853027","26.039999961853027"
"2304000","26.6759991645813","26.6759991645813","26.6759991645813"
"2368000","25.8840012550354","25.8840012550354","25.8840012550354"
"2432000","25.487999439239502","25.487999439239502","25.487999439239502"
"2496000","25.632002353668213","25.632002353668213","25.632002353668213"
"2560000","25.66800022125244","25.66800022125244","25.66800022125244"
"2624000","25.452000617980957","25.452000617980957","25.452000617980957"
"2688000","26.58000135421753","26.58000135421753","26.58000135421753"
"2752000","27.407999515533447","27.407999515533447","27.407999515533447"
"2816000","26.24399995803833","26.24399995803833","26.24399995803833"
"2880000","25.235999584197998","25.235999584197998","25.235999584197998"
"2944000","26.74799871444702","26.74799871444702","26.74799871444702"
"3008000","26.38799810409546","26.38799810409546","26.38799810409546"
"3072000","26.712000846862793","26.712000846862793","26.712000846862793"
"3136000","27.371999740600586","27.371999740600586","27.371999740600586"
"3200000","26.219999313354492","26.219999313354492","26.219999313354492"
"3264000","25.82399892807007","25.82399892807007","25.82399892807007"
"3328000","26.028001308441162","26.028001308441162","26.028001308441162"
"3392000","26.27999973297119","26.27999973297119","26.27999973297119"
"3456000","26.928001880645752","26.928001880645752","26.928001880645752"
"3520000","26.35200023651123","26.35200023651123","26.35200023651123"
"3584000","25.848001956939697","25.848001956939697","25.848001956939697"
"3648000","26.495997428894043","26.495997428894043","26.495997428894043"
"3712000","26.388000965118408","26.388000965118408","26.388000965118408"
"3776000","26.27999973297119","26.27999973297119","26.27999973297119"
"3840000","26.771999835968018","26.771999835968018","26.771999835968018"
"3904000","26.567997932434082","26.567997932434082","26.567997932434082"
"3968000","26.328001976013184","26.328001976013184","26.328001976013184"
"4032000","26.496000289916992","26.496000289916992","26.496000289916992"
"4096000","26.076000690460205","26.076000690460205","26.076000690460205"
"4160000","26.11199951171875","26.11199951171875","26.11199951171875"
"4224000","26.483998775482178","26.483998775482178","26.483998775482178"
"4288000","26.11199975013733","26.11199975013733","26.11199975013733"
"4352000","25.499998807907104","25.499998807907104","25.499998807907104"
"4416000","25.751999378204346","25.751999378204346","25.751999378204346"
"4480000","26.099997520446777","26.099997520446777","26.099997520446777"
"4544000","26.567999839782715","26.567999839782715","26.567999839782715"
"4608000","25.715998649597168","25.715998649597168","25.715998649597168"
"4672000","25.500000715255737","25.500000715255737","25.500000715255737"
"4736000","26.027999877929688","26.027999877929688","26.027999877929688"
"4800000","25.740000247955322","25.740000247955322","25.740000247955322"
"4864000","26.640000820159912","26.640000820159912","26.640000820159912"
"4928000","26.280002117156982","26.280002117156982","26.280002117156982"
"4992000","26.172000408172607","26.172000408172607","26.172000408172607"
"5056000","25.99200201034546","25.99200201034546","25.99200201034546"
"5120000","25.956000328063965","25.956000328063965","25.956000328063965"
"5184000","26.243999481201172","26.243999481201172","26.243999481201172"
"5248000","25.787999629974365","25.787999629974365","25.787999629974365"
"5312000","25.920000076293945","25.920000076293945","25.920000076293945"
"5376000","26.244001865386963","26.244001865386963","26.244001865386963"
"5440000","25.92000102996826","25.92000102996826","25.92000102996826"
"5504000","25.415998458862305","25.415998458862305","25.415998458862305"
"5568000","25.884003162384033","25.884003162384033","25.884003162384033"
"5632000","26.315999507904053","26.315999507904053","26.315999507904053"
"5696000","26.53200101852417","26.53200101852417","26.53200101852417"
"5760000","26.196001529693604","26.196001529693604","26.196001529693604"
"5824000","26.123998880386353","26.123998880386353","26.123998880386353"
"5888000","26.640000343322754","26.640000343322754","26.640000343322754"
"5952000","26.928000926971436","26.928000926971436","26.928000926971436"
"6016000","25.716001987457275","25.716001987457275","25.716001987457275"
"6080000","26.027998685836792","26.027998685836792","26.027998685836792"
"6144000","26.076000690460205","26.076000690460205","26.076000690460205"
"6208000","25.500000953674316","25.500000953674316","25.500000953674316"
"6272000","26.57999849319458","26.57999849319458","26.57999849319458"
"6336000","26.03999900817871","26.03999900817871","26.03999900817871"
"6400000","25.799999237060547","25.799999237060547","25.799999237060547"
"6464000","25.3799991607666","25.3799991607666","25.3799991607666"
"6528000","25.20000123977661","25.20000123977661","25.20000123977661"
"6592000","25.74000072479248","25.74000072479248","25.74000072479248"
"6656000","27.28800106048584","27.28800106048584","27.28800106048584"
"6720000","26.38800048828125","26.38800048828125","26.38800048828125"
"6784000","25.631999492645264","25.631999492645264","25.631999492645264"
"6848000","25.548001289367676","25.548001289367676","25.548001289367676"
"6912000","26.184001922607422","26.184001922607422","26.184001922607422"
"6976000","26.027998447418213","26.027998447418213","26.027998447418213"
"7040000","26.820001125335693","26.820001125335693","26.820001125335693"
"7104000","26.71199941635132","26.71199941635132","26.71199941635132"
"7168000","26.17199993133545","26.17199993133545","26.17199993133545"
"7232000","26.18399977684021","26.18399977684021","26.18399977684021"
"7296000","26.832001209259033","26.832001209259033","26.832001209259033"
"7360000","25.55999994277954","25.55999994277954","25.55999994277954"
"7424000","25.5600004196167","25.5600004196167","25.5600004196167"
"7488000","25.812000274658203","25.812000274658203","25.812000274658203"
"7552000","25.896000385284424","25.896000385284424","25.896000385284424"
"7616000","26.327998161315918","26.327998161315918","26.327998161315918"
"7680000","26.483999252319336","26.483999252319336","26.483999252319336"
"7744000","25.84799814224243","25.84799814224243","25.84799814224243"
"7808000","26.13599967956543","26.13599967956543","26.13599967956543"
"7872000","25.704001426696777","25.704001426696777","25.704001426696777"
"7936000","26.17200231552124","26.17200231552124","26.17200231552124"
"8000000","25.956000804901123","25.956000804901123","25.956000804901123"
"8064000","25.27199935913086","25.27199935913086","25.27199935913086"
"8128000","25.931999683380127","25.931999683380127","25.931999683380127"
"8192000","25.860000133514404","25.860000133514404","25.860000133514404"
"8256000","26.89199733734131","26.89199733734131","26.89199733734131"
"8320000","27.191998958587646","27.191998958587646","27.191998958587646"
"8384000","26.015999794006348","26.015999794006348","26.015999794006348"
"8448000","25.823999404907227","25.823999404907227","25.823999404907227"
"8512000","25.23599863052368","25.23599863052368","25.23599863052368"
"8576000","26.543999671936035","26.543999671936035","26.543999671936035"
"8640000","26.748001098632812","26.748001098632812","26.748001098632812"
"8704000","26.388000011444092","26.388000011444092","26.388000011444092"
"8768000","25.056000471115112","25.056000471115112","25.056000471115112"
"8832000","25.8480007648468","25.8480007648468","25.8480007648468"
"8896000","26.07600164413452","26.07600164413452","26.07600164413452"
"8960000","25.463997840881348","25.463997840881348","25.463997840881348"
"9024000","25.55999779701233","25.55999779701233","25.55999779701233"
"9088000","26.532000064849854","26.532000064849854","26.532000064849854"
"9152000","26.36399745941162","26.36399745941162","26.36399745941162"
"9216000","25.95599937438965","25.95599937438965","25.95599937438965"
"9280000","25.88399887084961","25.88399887084961","25.88399887084961"
"9344000","25.992000579833984","25.992000579833984","25.992000579833984"
"9408000","26.244000911712646","26.244000911712646","26.244000911712646"
"9472000","26.02799892425537","26.02799892425537","26.02799892425537"
"9536000","26.651999473571777","26.651999473571777","26.651999473571777"
"9600000","26.83199977874756","26.83199977874756","26.83199977874756"
"9664000","26.40000057220459","26.40000057220459","26.40000057220459"
"9728000","26.316001415252686","26.316001415252686","26.316001415252686"
"9792000","26.244001626968384","26.244001626968384","26.244001626968384"
"9856000","26.100000381469727","26.100000381469727","26.100000381469727"
"9920000","25.487999439239502","25.487999439239502","25.487999439239502"
"9984000","25.019999265670776","25.019999265670776","25.019999265670776"
"10048000","25.487999439239502","25.487999439239502","25.487999439239502"
